"a._id","a._parent","a.author","a.date","a.location","a.id_arbre","a.taxon","a.note"
295,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-651","Maytenus oblongata Reissek",null
298,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-652","Eperua grandiflora (Aubl.) Baill.",null
300,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-653","Pouteria cayennensis (A.DC.) Eyma",null
301,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-658","Micropholis cayennensis T.D.Penn.",null
303,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-654","Eperua grandiflora (Aubl.) Baill.",null
305,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-656","Aspidosperma sp. 1 AMAP-IRD",null
309,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-684","Eschweilera congestiflora (Benoist) Eyma",null
311,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-686","Tetragastris panamensis (Engl.) Kuntze",null
313,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-687","Pouteria engleri Eyma",null
316,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-688","Licania densiflora Kleinhoonte",null
318,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-689","Talisia hexaphylla Vahl",null
322,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-690","Tovomita sp. 10 AMAP-IRD",null
324,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-691","Duroia longiflora Ducke",null
326,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-692","Pouteria cayennensis (A.DC.) Eyma",null
328,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-694","Licania robusta Sagot",null
330,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-696","Pachira flaviflora (Pulle) Fern.Alonso",null
332,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-699","Manilkara bidentata (A.DC.) A.Chev.",null
335,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-700","Licania densiflora Kleinhoonte",null
337,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-702","Eschweilera congestiflora (Benoist) Eyma",null
338,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-172","Aniba hostmanniana (Nees) Mez",null
340,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-703","Oenocarpus bacaba Mart.",null
342,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-704","Pouteria cayennensis (A.DC.) Eyma",null
344,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-705","Licania densiflora Kleinhoonte",null
346,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-706","Ptychopetalum olacoides Benth.",null
348,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-708","Licania alba (Bernoulli) Cuatrec.",null
351,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-711","Tetragastris panamensis (Engl.) Kuntze",null
353,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-715","Bocoa prouacensis Aubl.",null
9261,null,"R. Tournebize","2013-02-24","Cayenne","NA","Petrea volubilis L.",null
355,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-716","Chrysophyllum sanguinolentum (Pierre) Baehni",null
357,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-717","Micropholis guyanensis (A.DC.) Pierre subsp. duckeana (Baehni) T.D.Penn.",null
359,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-718","Parinari campestris Aubl.",null
361,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-719","Moronobea coccinea Aubl.",null
363,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-721","Chrysophyllum sanguinolentum (Pierre) Baehni",null
365,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-722","Eperua grandiflora (Aubl.) Baill.",null
367,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-723","Chaetocarpus schomburgkianus (Kuntze) Pax & K.Hoffm.",null
368,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-10","Micropholis cayennensis T.D.Penn.",null
370,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-724","Eperua grandiflora (Aubl.) Baill.",null
372,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-1","Eperua falcata Aubl.",null
375,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-11","Paloue induta Sandwith subsp. glabra W.A.Rodrigues & H.C.Lima",null
377,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-12","Licania alba (Bernoulli) Cuatrec.",null
379,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-13","Chrysophyllum argenteum Jacq. subsp. nitidum (G.Mey.) T.D.Penn.",null
381,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-14","Lecythis persistens Sagot subsp. persistens",null
383,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-163","Eperua falcata Aubl.",null
385,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-164","Lecythis poiteaui O.Berg",null
387,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-166","Monopteryx inpae W.A.Rodrigues",null
389,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-167","Lecythis persistens Sagot subsp. persistens",null
391,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-168","Paloue induta Sandwith subsp. glabra W.A.Rodrigues & H.C.Lima",null
393,null,"C. Geniez","2013-04-15","Regina Savanne-Roche de Virginie - Parcelle SRV1","SRV1-169","Eschweilera sagotiana Miers",null
